device=Apple M5 execution=single shared-memory Metal dispatch plus waitUntilCompleted; setup excluded
payload_bytes vectors vector_bytes cpu_vector_ns cpu_flat_ns gpu_ns ratio_gpu_vector ratio_gpu_flat valid
16 1 16 51 31 397799 7730.27 12479.99 true
256 16 16 402 26 286477 711.37 10741.56 true
4096 256 16 6390 73 298899 46.77 4041.37 true
128 1 128 26 26 297792 11080.65 11080.65 true
2048 16 128 402 45 296018 736.21 6458.35 true
32768 256 128 6299 383 298623 47.40 778.60 true
1024 1 1024 36 37 288728 7920.14 7699.43 true
16384 16 1024 564 213 296443 525.07 1385.51 true
262144 256 1024 9115 4055 333928 36.64 82.35 true
8192 1 8192 140 140 288714 2062.25 2050.02 true
131072 16 8192 3010 1481 324428 107.75 218.96 true
2097152 256 8192 56265 35333 349661 6.21 9.90 true
65536 1 65536 821 842 300997 366.23 357.44 true
1048576 16 65536 16585 16072 326445 19.68 20.31 true
16777216 256 65536 325135 296531 582333 1.79 1.96 true
1048576 1 1048576 17725 17763 371605 20.96 20.92 true
16777216 16 1048576 352520 337562 596421 1.69 1.77 true
4194304 1 4194304 82135 80932 366755 4.47 4.53 true
67108864 16 4194304 1421088 1339687 1950708 1.37 1.46 true
16777216 1 16777216 339041 328130 723687 2.13 2.21 true
